

[Corpus] kluster0.txt
[LAST] equity: 21
[LAST] jakarta: 20
[LAST] batavia: 19
[LAST] terproteksi: 18
[LAST] panin: 18
[LAST] mnc: 17
[LAST] mega: 15
[LAST] rd: 15
[LAST] balanced: 14
[LAST] cimb: 13
[LAST] danareksa: 12


[Corpus] kluster3.txt
Jumlah dokumen: 241
[TF] jokowi: 1508
[TF] presiden: 819
[TF] pelantikan: 619
[TF] baca: 561
[TF] jakarta: 386
[TF] indonesia: 333
[TF] widodo: 332
[TF] menteri: 264
[TF] istana: 261
[TF] joko: 260
[TF] kalla: 244
[TF] jk: 242
[TF] rakyat: 223
[TF] wakil: 220
[TF] sby: 219
[TF] prabowo: 198
[TF] negara: 191
[TF] jusuf: 190
[TF] berita: 172
[TF] ketua: 169
[DF] jokowi: 237
[DF] presiden: 232
[DF] widodo: 224
[DF] jakarta: 221
[DF] joko: 217
[DF] baca: 216
[DF] pelantikan: 202
[DF] indonesia: 167
[DF] berita: 162
[DF] kalla: 146
[DF] jusuf: 141
[DF] wakil: 138
[DF] rakyat: 122
[DF] negara: 117
[DF] jk: 117
[DF] istana: 106
[DF] terpilih: 99
[DF] sby: 89
[DF] dilantik: 87
[DF] pukul: 83
[TF.IDF] menteri: 136.935264167965
[TF.IDF] prabowo: 100.377244278267
[TF.IDF] sby: 94.7453208686603
[TF.IDF] istana: 93.1016172779356
[TF.IDF] warga: 82.3079508864992
[TF.IDF] ketua: 80.0269120046609
[TF.IDF] jk: 75.947145760547
[TF.IDF] partai: 74.8089232353889
[TF.IDF] rumah: 70.565400952458
[TF.IDF] iriana: 68.6648726902885
[TF.IDF] kabinet: 68.208990998668
[TF.IDF] kereta: 67.4963827675276
[TF.IDF] rakyat: 65.9315582537268
[TF.IDF] mpr: 63.9268231989895
[TF.IDF] merdeka: 63.0698224679353
[TF.IDF] yudhoyono: 62.643926805024
[TF.IDF] ani: 61.2173523934365
[TF.IDF] dpr: 60.9571635426593
[TF.IDF] negara: 59.941755538283
[TF.IDF] pukul: 59.2561856254457
[LAST] jokowi: 40
[LAST] presiden: 38
[LAST] istana: 34
[LAST] jakarta: 33
[LAST] menteri: 33
[LAST] baca: 32
[LAST] pelantikan: 32
[LAST] widodo: 32
[LAST] jk: 29
[LAST] indonesia: 28
[LAST] joko: 27
[LAST] sby: 27
[LAST] rakyat: 24
[LAST] prabowo: 24
[LAST] kalla: 21
[LAST] ketua: 16
[LAST] wakil: 16
[LAST] warga: 16
[LAST] berita: 14
[LAST] partai: 13
